Depth,Vp,Vs,Density,Qkappa,Qmu,nNodes
0.0,5.8,3.2,2.6,57823.0,0.0,7.0
80.0,7.95906,4.40883,3.37471,57823.0,600.0,7.0
80.0,7.95906,4.40883,3.37471,57823.0,80.0,7.0
771.0,11.0656,6.24054,4.4432,57823.0,312.0,7.0
771.0,11.06559,6.24039,4.4432,57823.0,312.0,7.0
2741.0,13.68042,7.26593,5.49148,57823.0,312.0,7.0
2741.0,13.68044,7.26597,5.49148,57823.0,312.0,7.0
2891.0,13.71662,7.26597,5.56646,57823.0,312.0,7.0
2891.0,8.06479,0.0,9.90344,57823.0,0.0,7.0
5149.5,10.35572,0.0,12.16633,57823.0,0.0,7.0
5149.5,11.02826,3.50431,12.76361,1327.7,84.6,7.0
6371.0,11.2622,3.6678,13.0885,1327.7,84.6,7.0
