Depth,Vp,Vs,Density,Qkappa,Qmu,epsilon,kappa,a,nu,nNodes
0.0,2.75,1.65,1.7333333333333334,13623.76,328.28666666666663,0.042,0.5,0.65,0.2,7.5
10.0,2.75,1.65,1.7333333333333334,13623.76,328.28666666666663,0.042,0.5,0.65,0.2,7.5
28.0,5.5,3.3,2.6,13623.76,328.28666666666663,0.001,0.8,10000.0,0.2,7.5
28.0,7.68,4.41,3.34,898.7770312499999,357.5790625,0.001,0.8,10000.0,0.2,7.5
1258.0,8.18,4.69,3.44,898.7770312499999,357.5790625,0.001,0.8,10000.0,0.2,7.5
1258.0,8.18,4.69,3.44,898.7770312499999,357.5790625,0.001,0.8,10000.0,0.2,7.5
1258.0,8.18,4.69,3.44,898.7770312499999,357.5790625,0.001,0.8,10000.0,0.2,7.5
1298.0,8.15,4.57,3.45,898.7770312499999,357.5790625,0.001,0.8,10000.0,0.2,7.5
1298.0,8.15,4.57,3.45,898.7770312499999,357.5790625,0.001,0.8,10000.0,0.2,7.5
1313.0,8.11,4.51,3.45,56580.72,5.955869565217392,0.001,0.8,10000.0,0.2,7.5
1313.0,8.11,4.51,3.45,56580.72,5.955869565217392,0.001,0.8,10000.0,0.2,7.5
1323.0,4.0,0.0,3.98,56580.72,5.955869565217392,0.001,0.8,10000.0,0.2,7.5
1737.1,4.0,0.0,4.55,56580.72,5.955869565217392,0.001,0.8,10000.0,0.2,7.5
