Depth,Vp,Vs,Density,Qkappa,Qmu,epsilon,a,kappa,nu,nNodes
0.0,1.0,0.5,2.6,13623.76,328.28666666666663,0.001,10000.0,0.8,0.2,7.0
28.0,5.5,3.3,2.6,13623.76,328.28666666666663,0.001,10000.0,0.8,0.2,7.0
28.0,7.68,4.41,3.34,898.7770312499999,357.5790625,0.001,10000.0,0.8,0.2,7.0
1272.0,8.18,4.67,3.45,898.7770312499999,357.5790625,0.001,10000.0,0.8,0.2,7.0
1272.0,8.15,4.57,3.45,898.7770312499999,357.5790625,0.001,10000.0,0.8,0.2,7.0
1298.0,8.15,4.57,3.45,898.7770312499999,357.5790625,0.001,10000.0,0.8,0.2,7.0
1298.0,8.11,4.51,3.45,898.7770312499999,357.5790625,0.001,10000.0,0.8,0.2,7.0
1313.0,8.11,4.51,3.45,898.7770312499999,357.5790625,0.001,10000.0,0.8,0.2,7.0
1313.0,8.07,4.48,3.46,56580.72,5.955869565217392,0.001,10000.0,0.8,0.2,7.0
1323.0,8.07,4.48,3.46,56580.72,5.955869565217392,0.001,10000.0,0.8,0.2,7.0
1323.0,4.0,0.0,3.98,56580.72,5.955869565217392,0.001,10000.0,0.8,0.2,7.0
1737.1,4.0,0.0,4.55,56580.72,5.955869565217392,0.001,10000.0,0.8,0.2,7.0
